,Tweet,klasifikasi
0,,Positif
1,a xlhome,Negatif
2,aaaa ak lom read question last night xlhome bapukkk,Netral
3,aaaa xlhome gblk,Netral
4,aahbjjjakan internet xlhome strong,Positif
5,able entrusted problem even though even though plaza jatinegara parents already resentful can t convinced considering double xlhome anyway,Netral
6,absorbed tomorrow change xlhome,Negatif
7,accordance conveyed said said xlhome team please detailed information via dm adi,Netral
8,accordance previous information related xlhome fiber services conveyed via dm dian,Netral
9,accordance previous information related xlhome fiber services conveyed via dm yes dian,Netral
10,accordance previous information xlhome fiber packages fup limits adi,Netral
11,according anyway region lives get reach providers like initially asking xlhome reach biznet etc eh instead indihome well already rotten alternative exist,Positif
12,according cs word maximum devices connected maximum device network true like,Netral
13,according previous information details related xlhome conveyed via dm mala,Netral
14,activate ipv use xlhome fiber,Positif
15,actually many choices cbn fibernet xlhome still infrastructure expansion,Netral
16,ad uses xlhome,Netral
17,add coverage area pugeran dong min,Positif
18,add gawean,Positif
19,add xlhome,Netral
20,add xlhome option haha,Netral
21,additional area covered xlhome come area covered fortune list xl home lgg mas sales gaperlu smart tv xl brofo android tv box subscription watch netflix let s register,Positif
22,additional docks xlhome already uses fiber optic quality inet much better fm probability inet trouble rarely dock sy area gresik long th uses trouble cm x,Netral
23,admin afternoon xlhome fiber internet died cibinong permata park location please check dm details thanks,Positif
24,admin bro complained via xlhome email come complement can t make gb xl quota one viber still responses wait min,Positif
25,admin cibe asked resign reading,Negatif
26,admin come xlhome users can t access twitter,Netral
27,admin got xlhome bill via email want pay bill available please info admin,Netral
28,admin handil bhakti xlhome area please repair router loses red,Positif
29,admin morning xlhome slow cibinong area customer id please check dm thanks,Positif
30,admin want complain signal disorders xlhome,Negatif
31,admin want install xlhome tp area covered,Netral
32,admin wants ask netflix xlhome like,Netral
33,admin xlhome area handil bhakti south kalimantan damage starting morning los kedek red complex please handle immediately,Positif
34,aduuduu pii replace xlhome recommendation indihome possessive,Positif
35,advantages first media quite stable compared xlhome,Positif
36,advice immediately looking xl sales respective cities also asked cs said home area included coverage area even though xlhome pole home checked sales friday afternoon monday morning monday morning installed,Netral
37,advice install mko xlhome nder fup safe use end month,Netral
38,aera pringles aera xlhome,Negatif
39,aera xlhome,Netral
40,aespa xlhome,Netral
41,afternoon ask xlhome wireless unlimited prepaid amp budling buy compared xl go settign xl outlets,Netral
42,afternoon brother xlhome fiber connection really connection southern tambun area bekas,Netral
43,afternoon information applications currently xlhome thank,Netral
44,afternoon ipot android pc can t connect even though internet smooth using xlhome,Positif
45,afternoon sir sir went house red cable broke sir fo cable prone break sir,Netral
46,afternoon sis filled xlhome gb quota able get active period additional days adds days huh,Netral
47,afternoon sis want ask product xlhome already cilegon-banten please info tks,Netral
48,afternoon xlhome connection afternoon may helped,Netral
49,afternoon xlhome gowa region beating stall lights thanks,Netral
50,afternoon xlhome internet super slow morning please help already dm thanks,Netral
51,agets cg cbn myrepublic firstmedia transvision xlhome live cen ne promo,Netral
52,ah bgt xlhome anjng,Netral
53,ah i m bekas yet cover,Positif
54,ah unlucky want watch home tournament eh turns dying quota wants buy another quota week xlhome come welp,Netral
55,ahahahaha really usually xlhome,Positif
56,ahahahahha republic kaloga xlhome biznet clear,Netral
57,ahh xlhome rainy season really bad,Netral
58,ai recommended xlhome know yet,Netral
59,ai xlhome s experience stable qualified mbps package minus might cable tv package streaming like indihome already channel like metong suddenly late time teng maintenance maybe,Netral
60,ak child xlhome nder,Positif
61,ak indihome user bkn xlhome gtw xlhome ak ksi knows indihome smoothly dagjal,Netral
62,ak kmrn tab bs hp sm laptop z xlhome,Netral
63,ak make xlhome,Netral
64,ak team xlhome,Negatif
65,ak xlhome,Netral
66,ak xlhome good,Netral
67,akar ax xlhome looking many many,Netral
68,alaaah xlhome video,Netral
69,alah loyal biznet myrep xlhome entering also definitely replace,Positif
70,alhamdulilah xlhome smoothly victorious,Negatif
71,alhamdulillah already used xlhome safe,Netral
72,alhamdulillah broke indihom using xlhome,Netral
73,alhamdulillah thanks xlhome s sister fixed,Positif
74,alhamdulillah today city make report xlhome network disorders try,Netral
75,alhamdulillah xlhome smoothly,Netral
76,allah hom move xlhome po yo wkwk,
77,allah long disturbance xlhome quota finished cokkk,Netral
78,allah pi near rmh install xlhome,
79,allah xlhome bad,Positif
80,allah xlhome come network,
81,allah xlhome fajr wifi can t accessed sad,
82,allah xlhome lu ngapati,
83,allahu great biznet xlhome gorontalo immediately pull,Positif
84,allo xlhome,Netral
85,almost every day arrival xlhome sales turn install week installed technician x survey location even phone time cs bit stretchy saying home area can t install clearly front house xlhome pole,Positif
86,almost internet hour cs say please wait,Positif
87,almost month install xlhome fiber response help xlhome brother,Positif
88,almost sunday internet xlhome house broke please add address jalan pulau bangka denpasar,Negatif
89,alo want additional internet using xlhome package unlimited,Netral
90,already almost month ago filling personal data vent twitter dm confide cs cs e mail well opened also shading central xlhome flooded can t,Positif
91,already buried month ago arrived yet xlhome,Negatif
92,already contact sales rep myrep cbn biznet xlhome oxygen withdraw cables,Netral
93,already dm also info improvement solution xlhome,Positif
94,already dm response xlhome severe promos gedein said super fast super slow,Positif
95,already entered area house follow xlhome info cover can t put area house back steamer ui hanging,Positif
96,already felt otw moved xlhome,Positif
97,already fighting twitter u xlhome,Positif
98,already fill form responded well played xlhome,Netral
99,already gave additional charge without notice consent customers even interrupted going since wib hours,Negatif
100,already given explanation dm cs xlhome usual fiber infrastructure disorder area around house,Negatif
101,already guessed soan blasphemed indihome turns xlhome,Positif
102,already increasingly arbitrary xlhome,Netral
103,already indeed xl network good know xlhome,Netral
104,already late error,Positif
105,already lot kayapa shoes,Positif
106,already migration process fm xlhome ears hear news bird service worse,Netral
107,already monday monday xlhome service yet entered new orchid gdc,Negatif
108,already move xlhome smoothly victorious indihome firstmed wkwk,Negatif
109,already moved,Netral
110,already moved xlhome,Netral
111,already often complained change best answer try restart modem wait minutes later want replace xlhome said really good know going anymore would also jogja jogja boarding house also used indiehome bro,Positif
112,already often register home area xlhome web want hurry change xl min tired fm dead test,Netral
113,already psang xlhome,Positif
114,already pull moved xlhome,Netral
115,already quite lot richness beginning year rather quite open cables jogja try checking xlhome web,Positif
116,already register xlhome yet come said tomorrow,Negatif
117,already registrants want switch provider firstmediindihomexlhomecbn fibern enjoy consultation jamsudah fiber optic network consultation without fupfree installation free rental rental uniformedinfo subscription via dm whatsapp mimin yaa yaa,Netral
118,already rt inya xlhome san,Negatif
119,already songong really kmren belabeli book mulu today remembered xlhome bill stupid,Negatif
120,already still repeatedly even covered even though arrive house covered xlhome already tired sirah used,Positif
121,already subscribed xlhome kk,Positif
122,already switching indihome xlhome think better,Negatif
123,already that s tf xlhome every month fup limit long use limited home streaming youtube kids time children,Netral
124,already tried variety internet networks best really xlhome cheap cpt disturbance overcome hours,Netral
125,already try xlhome blum,Positif
126,already tv package sir,Positif
127,already used home never tried video call satisfied using,Netral
128,already used indihome turned xlhome cheap,Positif
129,already used use xlhome mba,Netral
130,already used xlhome safe ahaha,Netral
131,already using one ae bob original indihome bad xlhome fast bob,Netral
132,already using xlhome,Netral
133,already using xlhome use vpn anymore netflix buuu,Positif
134,already xlhome internal clock like,Positif
135,already year beginning beginning high mean year s promo,Negatif
136,already year like often trouble need use xlhome,Negatif
137,already year use xlhome year often network stupidly,Netral
138,already year using xlhome far safe maintenance network late midnight per month pay k hockey promo get borrowing android tv box,Netral
139,already yesterday track old conversation fail want follow exchange numbers later considered violate privacy,Positif
140,already yesterday wifi internet xlhome died id jl pandu sumerta denpasar bal things need asked contact us technician come soon,Positif
141,also aka made xlhome awikwok,Netral
142,also arrived chatter xlhome iconnet replace entering complex,Positif
143,also follow suggestions xlhome pay kindergarten also improvement time address jln kemuning b kalegowa kec somba opu gowa kab gowa sulsel,Positif
144,also good xlhome mbps get much,Netral
145,also helped xlhome,Netral
146,also like xlhome entering complex immediately replace indick left bangke bombardment continues bodo,Netral
147,also looked looking xlhome office far home,Netral
148,also one migrated firstmedia xlhome ces wkwkwk,Netral
149,also sometimes like wifi xlhome,Positif
150,also tambun bekas xlhome internet los admin admin unclear,Positif
151,also use xlhome unstable,Netral
152,also used make xlhome emang dick indihomo,Positif
153,also want bang mah area still indihome xlhome area parents bad indihome yet,Positif
154,also want xlhome nihhh,Netral
155,also xlhome,Netral
156,alternative dr indihong may mnc play first choice ulg interested xlhome,Positif
157,although provision red still hope blue xl pole used ordinary bts front house connected xlhome g,Negatif
158,always report know disturbance never fixed directly fact tell staff educate complaining customers understand incompetent shame,Netral
159,aman xlhome jrang drama si,Netral
160,amazing first media ogut problematic day clear network complex started switch myrepublic xlhome moment want go join,Netral
161,aminnn xlhome let s friendly,Netral
162,amnyink xlhome,Netral
163,ampe scolded iqbal xlhome,Netral
164,amplaz tok guda south gpp xlhome murcekk waswus bar cable installation village,Negatif
165,ancient times clean wonder customer running neighbor s provider,Positif
166,android ios user n desktop pc yes boss stb android semcam xlhome indihome nuwun,Positif
167,android tv sony stb xlhome smoothly victorious,Netral
168,angel area yo bajigur wkwk,Netral
169,angg xlhome smooth interference hehe,Netral
170,angry xlhome wifi can t used eh turns tutorial diyutub effective mon maap xlhome already every day bacotin akwkakwk,Positif
171,anjg delicious see vma tweets zoom college offcam tb written internet connection unstable really xlhome,Netral
172,anjg xlhome,Negatif
173,anjim xlhome ngapasi,Netral
174,anjir ga xl hp xlhome sinynya caur parahhh ugly,Netral
175,anjir wes knows contacting cs e tour network like indihme xlhome especially yes home,Positif
176,anjrit xlhome crashed,Netral
177,annoyed say rudely vs xlhome story long,Netral
178,another internet macem biznet cbn xlhome wants asu complex,Positif
179,answer a xlhome,Netral
180,answer hi dedy sorry unstable signal constraints complete following info xl users location experience thing maya wait data thanks g cpe,Netral
181,answer xl xl priority xlhome axis,Netral
182,answer xlhome,Positif
183,answer xlhome sure,Positif
184,answer xlhome sure i m home using xlhome good rarely interference try using xlhome one,Positif
185,answer xlhome sure proof home using xlhome good rare disturbance try using xlhome,Netral
186,answer xlhomejika wrong please forgive forgiving everything,Netral
187,anyone asked xlhome fiber go directly us thanks adi,Negatif
188,anyone contact people work xlhome south kalimantan,Netral
189,anyone ever experienced xlhome cs service insecure sukur xlhome employees help know else complain xlhome connection constraints already reported cs already middle school today told wait mgkn smp lebaran horse,Netral
190,anyone ever used xlhome like interference,Netral
191,anyone give input among internet provider good xlhome mncplay first media indihome need already subscribed want try respect customers,Netral
192,anyone home using xlhome stable plan replace provider,Negatif
193,anyone know xlhome slow,Positif
194,anyone sales xlhome area kotagede surrounding,Netral
195,anyone use xlhome,Positif
196,anyone use xlhome cere area review,Negatif
197,anyone use xlhome error also home especially suburbs mks alias sudiang,Netral
198,anyone use xlhome good,Positif
199,anyone use xlhome internet,Netral
200,anyone use xlhome kemang pratama area stagnant,Positif
201,anyone use xlhome okay,Netral
202,anyone use xlhome recommendji mks,Netral
203,anyone uses wifi xlhome want ask dungg,Netral
204,anyone using xlhome,Netral
205,anyone using xlhome bpk want change indihome xlhome xlhome good,Netral
206,anyone xlhome sales contact please dm thanks,Netral
207,anyone xlhome technician contacts dm please,Netral
208,anything asked related xlhome fiber service fitri,Netral
209,anything asked xlhome fiber service dian,Positif
210,anything asked xlhome fiber service fitri,Positif
211,anything asked xlhome mala,Netral
212,anything help xlhome fiber thanks adi,Netral
213,anyway shoutout xlhome dh g trouble jan,Positif
214,aowkaowkaowk try last night xlhome ga dick,Negatif
215,apaji xlhome every morning disturbance continues,Netral
216,apart xlhome good ask,Negatif
217,apkh xlhome bestie,Positif
218,apologize inconvenience rama felt regarding matter helped convey xlhome fiber team wait update thanks adi,Netral
219,apologize inconvenience sis related xlhome ip settings using dynamic private ip vevi,Netral
220,app ne gawan fb opo raenek grandma call data uploaded braids stream e dadi ping e duwur jar change connection inet koyo nexmedia opo xlhome,Netral
221,appreciation tweet mas mas xlhome nimbly coming house los modem lights red connected last night morning bro came right away,Netral
222,aqel custom trying first price turbo expensive friend speed,Netral
223,area affordable xlhome try xlhome,Netral
224,area also xlhome signal,Positif
225,area can t installed xlhome,Negatif
226,area container entered xlhome suggest installing xlhome,Positif
227,area covered try xlhome help,Positif
228,area covered xlhome certain areas rb mbps promos access cable tv channels help ag,Netral
229,area ngab,Negatif
230,area nty mncplay pretty cheap myrepublic fast xlhome also said good speed,Negatif
231,area still covered xlhome fiber network installation cannot done information whether area covered please check adi,Netral
232,area teng much,Negatif
233,area west jakarta good right,Negatif
234,area yet exist yet covered xlhome network,Positif
235,areas south jakarta already covered xlhome fiber network sis informed full address based name housing complex road block house number,Netral
236,ashamed employees mr gunarto hrd pure company ouch concerned xlhome employee stupid deliberately money,Netral
237,ask area know xlhome cover quota system,Positif
238,ask dm xlhome lord like,Negatif
239,ask enter kesamarinda,Positif
240,ask help error sunday afternoon one cares please please,Netral
241,ask help xlhome lg disturbance assisted technician bwt kermh cibinong region west java,Negatif
242,ask mirah xlhome promo,Positif
243,ask xlhome fiber list jl pulo sirih selatan blok ae galaxy park housing south bekas district bekas,Netral
244,ask xlhome times already cheap area,Netral
245,asked account account xlhome,Netral
246,asked area covered yesterday saw covered bandung regency cicalengka checked west bandung regency part cover context xlhome coverage area,Negatif
247,askrl guys wifi network good fm xlhome huh,Positif
248,askrl plus minus using xlhome sis,Netral
249,askrl using xlhome wifi installation long time register,Negatif
250,assalamualaikum morning morning morning let s start today s activities activities home xlhome ready accompany,Netral
251,assalamualaikumasudah december tv box promises installation talking,Netral
252,assisted ut xlhome registration process kk tks,Netral
253,asuu mid match instead mbadut xlhome dick,Netral
254,asyncronus link mas bandwidth ratio meaning bandwidth upload download replace using xlhome fiber ratio hoho,Netral
255,attractive promo xlhome sis,Positif
256,august contacted xlhome scheduled install august technician came day notification regarding matter,Positif
257,avi uses xlhome,Netral
258,awaited min red doan wait arrival mupdhl already treated minho cibitung think tea entered metland,Netral
259,awwehh kepap tbtb joined slow xlhome,Netral
260,axiata also wants live indihome using xlhome,Positif
