content,id,trans_eng,tweet_clean,tweet_english,klasifikasi
"@listyaarisanty Bujur Listya! pake xlhome bisa akses netflix, ga pke vpn lg. Pokokny lancar mulus dan hargany lumayan murah pke xlhome 👍",1268514321207787520,"@listyaarisanty Longitude Listya! using xlhome can access Netflix, no VPN again. The point is smooth smooth and the price is quite cheap pke xlhome 👍","Longitude Listya! using xlhome can access Netflix, no VPN again. The point is smooth smooth and the price is quite cheap pke xlhome","longitude listya! using xlhome can access netflix, no vpn again. the point is smooth smooth and the price is quite cheap pke xlhom",Positif
@japapesembiring Xlhome aja,1268506663322972160,@japapesembiring xlhome,xlhome,xlhome,Netral
@banjarbase Xlhome,1268478666482135041,@banjarbase xlhome,xlhome,xlhome,Netral
"@Saefu7anwar  Hi Anwar, XLHome Fiber ialah layanan akses internet super cepat hingga 300 Mbps dengan menggunakan kabel serat optik. Sehingga untuk aksesnya leih stabil ya. #Thanks ^AdI :)",1268441950669045761,"@Saefu7anwar hi anwar, xlhome fiber is a super fast internet access service up to 300 Mbps using optical fiber cables. So that for access is stable. #Thanks ^adi :)","hi anwar, xlhome fiber is a super fast internet access service up to Mbps using optical fiber cables. So that for access is stable. ^adi","hi anwar, xlhome fiber is a super fast internet access service up to mbps using optical fiber cables. so that for access is stable. ^adi",Positif
sedang selingkuh dari indihome ke xlhome. map,1268441120859500544,Being cheating from Indihome to Xlhome. folder,Being cheating from Indihome to Xlhome. folder,being cheating from indihome to xlhome. fold,Netral
"@blurdikit Hi kak, mohon maaf atas ketidaknyamanannya, Terkait informasi atau keluhan layanan XLHome Fibernya bisa disampaikan via DM ya. #Thanks ^Fitri",1268426672476262401,"@blurdikit hi sis, sorry for the inconvenience, related to information or complaints of the xlhome fiber service can be conveyed via DM. #Thanks ^Fitri","hi sis, sorry for the inconvenience, related to information or complaints of the xlhome fiber service can be conveyed via DM. ^Fitri","hi sis, sorry for the inconvenience, related to information or complaints of the xlhome fiber service can be conveyed via dm. ^fitri",Negatif
"@yyymleh Hi Masbenk, apakah ada yang ditanyakan terkait dengan layanan XLHome Fibernya? #Thanks ^Fitri",1268421056001216512,"@yyymleh Hi Masbenk, is there anything asked about the Xlhome Fiber service? #Thanks ^Fitri","Hi Masbenk, is there anything asked about the Xlhome Fiber service? ^Fitri","hi masbenk, is there anything asked about the xlhome fiber service? ^fitri",Netral
"@otrymahamel @tamasya96 Xlhome enak, ga pakai FUP",1268410250333306880,"@otrymahamel @tamasya96 xlhome is delicious, don't use fup","xlhome is delicious, don't use fup","xlhome is delicious, don't use fup",Positif
@_xcerealkiller @sbyfess XLhome juga apik...,1268394013922476032,@_xcerealkiller @sbyfess xlhome is also neat ...,xlhome is also neat ...,xlhome is also neat ...,Netral
"@jnthnkn  Hi Natham, terkait layanan XLHome Fiber bisa disampaikan via dm ya :) #Thanks ^Dian",1268365942775410689,"@jnthnkn hi natham, related to xlhome fiber service can be delivered via dm yes :) #thanks ^Dian","hi natham, related to xlhome fiber service can be delivered via dm yes ^Dian","hi natham, related to xlhome fiber service can be delivered via dm yes ^dian",Netral
@squidwardfess kalo dijkt pake mncplay or xlhome kak bisa tp kalo didaerah lain biasanya kebanyak indi kl gak firstmed karena emg itu yg satelitnya banyak kl yg lainnya kadang satelitnya gak menjangkau gt. cmiiw,1268362942338064384,"@squidwardFess If you use Mncplay or Xlhome, you can, but if in other regions, most of them are usually not FIRSTMED because EMG is a lot of other satellites, sometimes the satellite doesn't reach GT. CMIIW","If you use Mncplay or Xlhome, you can, but if in other regions, most of them are usually not FIRSTMED because EMG is a lot of other satellites, sometimes the satellite doesn't reach GT. CMIIW","if you use mncplay or xlhome, you can, but if in other regions, most of them are usually not firstmed because emg is a lot of other satellites, sometimes the satellite doesn't reach gt. cmiiw",Positif
"@FS_fms  Hi, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Dian",1268334241483419648,"@Fs_fms hi, related to xlhome fiber services can be conveyed via DM huh :) #thanks ^Dian","hi, related to xlhome fiber services can be conveyed via DM huh ^Dian","hi, related to xlhome fiber services can be conveyed via dm huh ^dian",Netral
"@rudiroski  Hi Rudiroski, apakah ada yang ditanyakan terkait dengan layanan XLHome Fibernya? #Thanks ^Dian",1268333220845645824,"@rudiroski Hi Rudiroski, is there anything asked about the Xlhome Fiber service? #Thanks ^Dian","Hi Rudiroski, is there anything asked about the Xlhome Fiber service? ^Dian","hi rudiroski, is there anything asked about the xlhome fiber service? ^dian",Netral
"@listyaarisanty Pasang dah xlhome wkwk, dijamin kdd gangguan",1268256373738856449,"@listyaarisanty installed dah xlhome wkwk, guaranteed KDD disturbance","installed dah xlhome wkwk, guaranteed KDD disturbance","installed dah xlhome wkwk, guaranteed kdd disturb",Netral
@benakribo Xlhome,1268210669016346625,@benakribo xlhome,xlhome,xlhome,Netral
@zoelbekti Tu'. Xlhome iya?,1268178350863941637,@zoelbekti tu '. Xlhome huh?,tu '. Xlhome huh?,tu '. xlhome huh?,Netral
"@utuhka @Angg_gre @deaynh @rindaamr @IndiHome Mana ada umpatn, emg dr dlu ak masang xlhome",1268172932880035842,"@UTUHKA @Angg_gre @deaynh @rindaamr @IndiHome where there is an umpatn, emg from dlu ak masang xlhome","where there is an umpatn, emg from dlu ak masang xlhome","where there is an umpatn, emg from dlu ak masang xlhom",Netral
"@xlhomeid dear xlhome tolong check DM, thx.",1268169067459825665,"@xlhomeid dear xlhome please check dm, thx.","dear xlhome please check dm, thx.","dear xlhome please check dm, thx.",Netral
"@ubilunak  Hi Ubi, cek area kamu saat ini masih belum tercover jaringan XLHome Fiber. Informasi lebih lanjut apakah area kamu sudah ter-cover atau belum, silakan cek disini https://t.co/0QqojBNA5H #Thanks ^AdI :)",1268115742894911489,"@ubilunak hi ubi, check your area at this time still not covered by the Xlhome Fiber network. For further information whether your area has been covered or not, please check here https://t.co/0qqojbna5h #thanks ^adi :)","hi ubi, check your area at this time still not covered by the Xlhome Fiber network. For further information whether your area has been covered or not, please check here ^adi","hi ubi, check your area at this time still not covered by the xlhome fiber network. for further information whether your area has been covered or not, please check here ^adi",Netral
@iqanteri Makanya pake xlhome WKWKWKKWKW,1268114054670761985,@iqanteri so use xlhome wkwkwkkwkw,so use xlhome wkwkwkkwkw,so use xlhome wkwkwkkwkw,Netral
@Angg_gre @deaynh @rindaamr @IndiHome Bujuran ak masang xlhome ni. Asli kdd gangguan sama skali dan juga kwa akses netflix.,1268111453099188226,@Angg_gre @deaynh @rindaamr @IndiHome Bujuran Ak Masang Xlhome Ni. Original KDD Disorders with Skali and also Netflix Access Kwa.,Bujuran Ak Masang Xlhome Ni. Original KDD Disorders with Skali and also Netflix Access Kwa.,bujuran ak masang xlhome ni. original kdd disorders with skali and also netflix access kwa.,Positif
"@Angg_gre @deaynh @rindaamr @IndiHome Sama aku lwn angg, xlhome mulus bgt gak ada gangguan hehe",1268108582832058370,"@Angg_gre @deaynh @rindaamr @IndiHome with me lwn angg, xlhome is so smooth there is no disturbance hehe","with me lwn angg, xlhome is so smooth there is no disturbance hehe","with me lwn angg, xlhome is so smooth there is no disturbance heh",Positif
"@merdhas  HI Merdha, adakah yang bisa kami bantu mengenai XLHome? #Thanks ^AdI :)",1268049242855071745,"@merdhas Hi Merdha, can we help you about Xlhome? #Thanks ^adi :)","Hi Merdha, can we help you about Xlhome? ^adi","hi merdha, can we help you about xlhome? ^adi",Netral
@xlhomeid XLHome aman 👍,1268048055481188353,@xlhomeid xlhome safe 👍,xlhome safe,xlhome saf,Netral
"@banjarbase Jauh sii bagusan xlhome, mana murah",1268036235877953536,"@banjarbase far sii bagusan xlhome, which is cheap","far sii bagusan xlhome, which is cheap","far sii bagusan xlhome, which is cheap",Positif
@collegemenfess XLHOME,1268007549044834305,@collegemenFess xlhome,xlhome,xlhome,Netral
@hilihbacod Gw pake xlhome kir,1267987830053036033,@hilihbacod I use xlhome kir,I use xlhome kir,i use xlhome kir,Netral
"@RamaIvander Gaada, satunya cmn xlhome sama aja",1267985344877625344,"@Ramaivander no, the other cmn xlhome is the same","no, the other cmn xlhome is the same","no, the other cmn xlhome is the sam",Negatif
@vici_rianjani @triindonesia xlhome 😂,1267873089464852480,@vici_rianjani @triindonesia xlhome 😂,xlhome,xlhome,Netral
"@pinecooper  Hi Safina, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Dian",1267829195691814912,"@pinecooper hi safina, related to xlhome fiber service can be delivered via dm huh :) #thanks ^Dian","hi safina, related to xlhome fiber service can be delivered via dm huh ^Dian","hi safina, related to xlhome fiber service can be delivered via dm huh ^dian",Netral
"@xlhomeid saya sangat kecewa dengan layanan xlhome, kecepatan internet sering drop, tidak stabil apalagi habis hujan, saya berhenti langganan xlhome",1267816567393275906,"@xlhomeid I am very disappointed with XLHOME service, internet speed is often dropped, unstable let alone rain, I stopped subscribed to xlhome","I am very disappointed with XLHOME service, internet speed is often dropped, unstable let alone rain, I stopped subscribed to xlhome","i am very disappointed with xlhome service, internet speed is often dropped, unstable let alone rain, i stopped subscribed to xlhom",Negatif
Plisdong xlhome gue bayar loh gak gratis 🤧,1267805257821597696,Plisdong Xlhome I pay for free 🤧,Plisdong Xlhome I pay for free,plisdong xlhome i pay for fre,Netral
"@HarzaArbaha  Hi Harza, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) #Thanks ^Dian",1267767499401003013,"@Harzaarbaha Hi Harza, related to Xlhome Fiber services can be conveyed via DM :) #thanks ^Dian","Hi Harza, related to Xlhome Fiber services can be conveyed via DM ^Dian","hi harza, related to xlhome fiber services can be conveyed via dm ^dian",Netral
Xlhome atau biznet atau myrepublic yaaa 🥴🥴🥴,1267691886107455488,Xlhome or biznet or myrepublic yaaa 🥴🥴🥴,Xlhome or biznet or myrepublic yaaa,xlhome or biznet or myrepublic yaaa,Netral
"@xlhomeid @Rio_ramadhan_ XLhome katanya 30mbps. Nyobain speed test mentok 26, gimana ini min?",1267658994837045251,"@xlhomeid @rio_ramadhan_ xlhome he said 30Mbps. Try the speed test stuck 26, how about this, min?","xlhome he said Mbps. Try the speed test stuck , how about this, min?","xlhome he said mbps. try the speed test stuck , how about this, min?",Netral
@Ardimnsyr Xlhome bgus 🤣🤣,1267655440122298368,@Ardimnsyr xlhome bgus 🤣🤣,xlhome bgus,xlhome bgu,Netral
@tanyainrl xlhome,1267647736586727424,@tanyinrl xlhome,xlhome,xlhome,Netral
@RexQuen Indihome or xlhome,1267642323107606529,@Rexquen indihome or xlhome,indihome or xlhome,indihome or xlhom,Netral
@SobatHAPE make XLHome dong om kenceng dahh,1267607123795427328,"@Sobathape Make xlhome, uncle","Make xlhome, uncle","make xlhome, uncl",Netral
@aquarioeus @pacqrmuu cepet ganti ke xlhome,1267593569046392832,@aquarioeus @pacqrmuu quickly change to xlhome,quickly change to xlhome,quickly change to xlhom,Positif
@nasterkeik move xlhome aj neng.,1267471347178860544,@nasterkeik move xlhome aj neng.,move xlhome aj neng.,move xlhome aj neng.,Netral
@banjarbase Kawa xlhome nder,1267455363827163136,@banjarbase kawa xlhome nder,kawa xlhome nder,kawa xlhome nd,Netral
