,tweet_clean,klasifikasi
0,xlhome indihome wal,Netral
1,luckily the dog's cock cock xl home hooked rto not reported uu ite,Positif
2,"How many times have I used the iconnet, I'm using mbps, I've paid for it, it's like Indihom, it's around a thousand, the promo costs now, the signal looks like the kite has broken, even the year, I guess I'm moving to try xlhome",Positif
3,xl home,Netral
4,"iced tea should be ashamed, sm indihome xlhome lot is a little bit cursing and swearing but the admin patiently told me to restart again if xlhome I told you but the admin still ordered the staff at home to fix it, don't bring the legal team haha",Positif
5,I'm leaving fm xlhome collab,Netral
6,"report via dm, say open ticket, close it's done rotten, support xl home, think install xlhome, what speedboost promo",Netral
7,friday september chat ticket status oe-p ticket closed xl home it's really really rotten service support xlhome,Positif
8,"mtp area, base city, do you enter xlhome wal",Negatif
9,min use xlhome xl gb internet is free to call sms xl internet package the phone package shows up,Positif
10,"hang it, if yesterday you installed xlhome, the installation fee is free, the month is rb unlimited, already stb internet quota for the cellphone",Positif
11,fast internet can be good according to mbps,Positif
12,xl home st nya tidak support netflix,Netral
13,wifi bjm is aja wal xlhome for kota jar,Netral
14,kost louise house ap tdk ganti wifi xlhome,Netral
15,larang xlhome mbps an ja,Netral
16,"huwaaa, the cellphone and tv contact the xlhome directly, okay?",Positif
17,"Are you really tired, don't open insta web, block chrome, block xlhome, aka anjeng, you're so weird",Negatif
18,"xl home isn't it boring, does it bother you?",Negatif
19,wifi xl home advice indihome vs cbn guys,Netral
20,wifi xlhome kek babi,Netral
21,xlhome is the most diligent and vigorous meater of this brochure,Positif
22,gak xlhome xl no service,Netral
23,crazy xl yes xl xlhome doesn't net hahahaha it's funny the provider is just good at using xlhome here and there it's a joke,Positif
24,"Hi Aditya, I'm sorry, it's convenient to hook up the Xlhome service via DM, thanks Ersa",Negatif
25,after holding indihome people's house xlhome lot cong,Netral
26,xlhome info quota rupiah tyduck,Netral
27,"xlhome gg connects to the net, it's been a bad hour",Negatif
28,xl use xlhome,Netral
29,xl home yoo iso trouble too din kiro mung indihome,Negatif
30,xlhome is here,Netral
31,netflix premium yg xlhome,Netral
32,please help internet connection,Netral
33,in,Netral
