id,content,translate,
1554242819375542272,Hari hari xlhome makin babi,Loading...,Loading...
1553863840353230848,@zaldidot Sdh ada xlhome 😅,Loading...,Loading...
1553634736072900608,@Iongentot Terkait layanan XLHome dapat disampaikan via DM ya :). Thanks - ^Ersa,Loading...,Loading...
1553444264201580544,Ini xlhome kenapa lagi jam segini gangguan ya allah😭 @xlhomeid,Loading...,Loading...
1553406347235844096,"Ini xlhome gangguan pas lagi dota tadi
Untung ada tethering dan untung menang",Loading...,Loading...
1553291510774644736,"@Askrlfess kalo lu pake xlhome and myrepublic, kemungkinan bbrp yg diblok msh bisa dibuka.",Loading...,Loading...
1553230725461131264,i still can play apex sih tapi pake xlhome idk with other providers,Loading...,Loading...
1553165963482505216,@ovii995 gatau ini karena aku pake xlhome atau emang udah jalan dnscrypt nya https://t.co/zaDHw0RDEO,@ovii995 gatau this is because I use xlhome or already walking dnscrypt https://t.co/zadhw0rdeo,id
1553163030170574853,@mozila80 @teamsecret @kemkominfo @IndiHome @IndiHomeCare Pake @xlhome aja,Loading...,Loading...
1553046157689257984,maya xlhome lo ga ngebantu bgt anjjjjjj,Loading...,Loading...
1552794336185970689,@xlhomefiberindo kak saya mau bayar xlhome saya via virtual mandiri kenapa tidak bisa ya?,Loading...,Loading...
1552738781060808705,"@celiecandys Xlhome goated, i changed from firstmed this year and sheesh",Loading...,Loading...
1552728201465540608,xlhome jam segini napa rto muluu si,Loading...,Loading...
1552723054320812032,Name a more iconic duo than XLHome and 1 am connection problem,Loading...,Loading...
1552722689529237504,"Nontom mukbang jam segini tuh cari perkara, sama macam @xlhome ni tiap jam segini gangguan pukimak dah berapa hari berturut turut mi",Loading...,Loading...
1552519638285959170,"Wah sinting xlhome gak ada respon sama sekali, cuma ada balasan bot.",Loading...,Loading...
1552377111687872512,xlhome plissss aku lagi compeee,Loading...,Loading...
1552344551381094400,"@e_doremifa Hi Bapak Edo, maaf atas kendala yang dialami. Terkait layanan XLHome dapat disampaikan via DM ya :). Thanks - ^Ersa",Loading...,Loading...
1552334093031190528,"@e_doremifa Hi Bapak Edo, maaf atas kendala yang dialami. Terkait layanan XLHome dapat disampaikan via DM ya :). Thanks  - ^Ersa",Loading...,Loading...
1552133163623022592,tabe ada pake xlhome? lancarji jaringannya?,Loading...,Loading...
1551985105891053568,Xlhome kalo gak gangguan setelah jam 12 malem kayaknya bakal kejang kejang,Loading...,Loading...
1551983420242542594,xlhome kenapasi jam segini error mulu,Loading...,Loading...
1551722527369486336,"@xlhomeid 
Halo selamat pagi,
Ini kok internet xlhome mati ? Sudah dari kemarin sore sampai sekarang tidak dapat pakai internet",Loading...,Loading...
1551692125762306049,@endorpheenzx ganti mnc play atau ga xlhome aja del👍🏻,Loading...,Loading...
1551649480537034753,@xlhomeid Xlhome,Loading...,Loading...
1551535629460090882,"@myXLCare 
Halo selamat sore, ini saya ingin tanya apakah internet xlhome sedang error'? Sudah 2 jam internet mati

Sudah nunggu 1 jam telepon CS selalu sibuk",Loading...,Loading...
1551425735692132352,"@XLHome saya ingin komplain, koneksi saya sudah satu minggu tidak stabil, lebih sering putusnya dari pada nyambungnya.",Loading...,Loading...
1550831064989310976,"@xlhomeid tidak ada weekend yang aman untuk user xlhome, jaringan RTO,  lelet,  lapor nya super ribet diputer puter bot hahaha. Langganan wifi tapi hari hari pake kuota data",Loading...,Loading...
1550826513909809152,@rhmdndrnt XLHome kontoll,Loading...,Loading...
1550684210012205056,[askrl] guys jaringan wifi bagusan fm/xlhome ya?,Loading...,Loading...
1550678652848746496,"@inadhilahs Xlhome ih cb geura, udh msk daerah lu blm na",Loading...,Loading...
1550654484644171776,"#xlhome
#internetmurah
#wifi
#wifiruangusaha https://t.co/PZPtWZypfw",Loading...,Loading...
1550494005837762560,"@agamag Tetep kalah dr xlhome.,",Loading...,Loading...
1550485577656455168,udah beralih dari indihome ke xlhome kira bakal lebih baik ternyata sama aja..,Loading...,Loading...
1550366949921591297,jaringan xlhome kenapa deh sering jelek bgt akhir-akhir ini 🥲,Loading...,Loading...
1550332579492302849,"@agamag @kusuma_loka Aku pake xlhome. Bayangin, 30mbps cm 100 rb. Sampe fm dan indigo kebakaran jembut . Lha pelanggan pd kabur....",Loading...,Loading...
1550253296115675136,PROMO JULI #xlhome #promoxlhome #hargaxlhome #xlhomejakarta #xlhometangerang #xlhomedepok #xlhomebekasi #xlhomemakassar #xlhomebandung #xlhomebalikpapan #xlhomebanjarmasin #xlhomebanjarbaru #xlhomeyogyakarta #xlhomecirebon #xlhomepalangkaraya #xlhomebali https://t.co/TagBIJ4qXl https://t.co/X7DrXvZiRq,Loading...,Loading...
1550144564379275265,bikin emosi dah anjing xlhome,Loading...,Loading...
1550144486784638976,XLHOME KENAPA BANGSAAATTTTTT,Loading...,Loading...
1550138440104423424,"Udah cukup lama puas pake xlhome, tapi akhir akhir ini jaringannya jd sampah banget. Ada masalah apaandah ini si xl?",Loading...,Loading...
1550073988616835072,@XLHome @myXL kok xl home lelet bngtt ejekekskskakkaka,Loading...,Loading...
1550043503920816128,ni wifi xlhome kek babi bgt anjjjj LEMOTTTTTT @xlhomeid,Loading...,Loading...
1549776471740542977,@banjarbase aku xlhome 277k bagi 5 bulatnya 56 sorang nder,Loading...,Loading...
1549623109770063872,gw setiap xlhome ancur: https://t.co/HpesVj3pBv,Loading...,Loading...
1549447366750613504,"@xlhomeid Bot ngapain ngomong sama bot , by phone dengan cs #xlhome tetap gak beres, sudah nunggu 8 jam , giliran gak bayar diputusin, pas dibayar selang berapa hari diputusin lagi alasan kerusakan putus fiber lah sudahlah lama lama saya yang putusin untuk tidak langganan #xlhome lagi",Loading...,Loading...
1549436108345602048,"@xlhomeid Bahas xlhome pakai data telkomsel , karena xlhome dirumah 4 jam sudah padam karena alasan perbaikan yang tidak jelas #xlhome #memgecewakan",Loading...,Loading...
1549393892080242688,@Askrlfess xlhome,Loading...,Loading...
1549373222994395136,"udah 2 tahun make xlhome tapi tahun ini kenapa sering down dah jaringannya, tolol bgt @xlhomeid",Loading...,Loading...
1549370213027573760,"@xlhomeid Kemarin lampu internet yg mati, skrg lampu los yg nyala.. payah Xlhome.. cuma promo di gedein https://t.co/I9YkTOv9rl",Loading...,Loading...
1549367637292904448,@xlhomeid Payah xlhome lampu los menyala https://t.co/w9Q2cnN0tI,Loading...,Loading...
