content,id,trans_eng
XLhome / Indihome /wal,1574253275221983232,Xlhome / indihome / wal
Merasa beruntung dulu sering kontol kontolin dan anjingin xlhome karena doyan RTO nggak dilaporin UUITE,1574055945235464192,Feeling fortunate that I used to often dick dick and anjingin xlhome because the foyers of the rto were not reported to be uuite
"@bona_gajahkecil @syngnyakm @pamanhikam @Gandhoyy @esteh_indonesia @IndiHome @FirstMediaCares @Iconnet_id @pln_123 Itu udah brapa bulan pake iconnetnya?sy pake 20 mbps bayarnya udah kyak indihom aja dikisarsn 350 ribuan. Promo biayanya hanya 3 bulan, dan skrg sinyalnya kyk layangan putus😤.genap 1 thn kyaknya mau pindah nyobain xlhome",1573969582624108546,"@bona_gajahkecil @syngnyakm @pamanhikam @gandhoyy @esteh_indonesia @indiHome @firestmediacares @iconnet_id @pln_123 has been using the iconnet? Promo costs only 3 months, and now the signal is like a broken kite."
@kurniawanms Xlhome,1573947939806126080,@kurniawanms xlhome
@ernestprakasa Es teh hrs Malu sih sm indihome dan xlhome lemot dikit dimaki² di ajg²in disumpahin tp adminnya dgn sabar nyuruh restart lg klo xlhome prnh ku katain tp adminnya ttp baik loh nyuruh pegawainya ke rmh perbaikin gada bawa² tim legal hadehh,1573894313825959937,@NestPrakasa Ice tea must be ashamed of indihome and xlhome slow a little bit cursed in ajg²in sworn but patiently told me to restart again if xlhome prnh I said but the admin is good
Apa nih? Ninggalin FM ke XLHome malah ternyata collab. https://t.co/oXDUhRAuez,1573636002736123904,What is this? Leaving FM to Xlhome actually turned out to be collab. https://t.co/oxduhrauez
"Percuma lapor lagi via DM ke @XLHomeID toh dari percakapan di atas bisa dilihat kalau ada masalah akan buka tiket, lalu akan ditutup tanpa penyelesaian.
Busuk banget supportnya XL Home

Pikir-pikir lagi kalau mau pasang XLHome, entah dikasih promo speedboost atau apapun https://t.co/KLvYOF0rMY",1573595661999648768,"It's useless to report again via DM to @xlhomeid anyway from the conversation above can be seen if there is a problem will open the ticket, then it will be closed without a settlement.
Very rotten support xl home

Think again if you want to install XLHOME, whether given a speedboost promo or whatever https://t.co/klvyof0rmy"
"Jumat 23 September 2022, akhirnya saya chat lagi, saya tanya status tiket saya O95E-P545.  Ternyata apa? Tiket malah ditutup seenaknya oleh XL Home @XLHomeID

Padahal masalah belum selesai. Kebangetan busuk banget layanan support XLHome https://t.co/fWcHvCFa0w",1573589075835355136,"Friday 23 September 2022, I finally chat again, I asked my ticket status O95E-P545. What turns out? The ticket was even closed at will by XL Home @xlhomeid

Even though the problem hasn't been resolved. Very rotten XLHOME support service https://t.co/fwchvcfa0w"
Daerah mtp kota dasar belum masuk kah XLhome /wal ?,1573274607959752704,MTP area of ​​the basic city has not entered xlhome /wal?
"@xlhomeid min mau tanya dong. Saya kan pakai xlhome xl satu, yang harusnya termasuk 15GB internet dan bebas nelpon dan sms sesama xl.
Paket internetnya sudah muncul, tapi paket teleponnya kok tidak ada ya?",1573164998767292416,"@xlhomeid Min, I want to ask. I use XLHome XL one, which should include 15GB of the internet and free to call and SMS fellow XL.
The internet package has appeared, but how come the phone package isn't there?"
